onset	duration	sample	value
13.8193359375	n/a	14151	condition 19
27.9687500000	n/a	28640	condition 26
41.5683593750	n/a	42566	condition 19
53.8515625000	n/a	55144	condition 65
67.8515625000	n/a	69480	condition 19
80.2851562500	n/a	82212	33
92.5517578125	n/a	94773	condition 64
104.9179687500	n/a	107436	condition 26
117.0683593750	n/a	119878	condition 65
130.2343750000	n/a	133360	condition 18
143.9345703125	n/a	147389	condition 32
157.8505859375	n/a	161639	condition 32
170.3505859375	n/a	174439	condition 18
184.5009765625	n/a	188929	condition 32
198.0009765625	n/a	202753	condition 64
211.4169921875	n/a	216491	condition 26
225.4667968750	n/a	230878	condition 65
237.6171875000	n/a	243320	condition 19
250.9003906250	n/a	256922	condition 32
264.2832031250	n/a	270626	27
278.0830078125	n/a	284757	condition 65
291.1494140625	n/a	298137	27
303.8994140625	n/a	311193	condition 18
316.7666015625	n/a	324369	33
329.6494140625	n/a	337561	condition 32
343.2656250000	n/a	351504	condition 26
355.6494140625	n/a	364185	condition 64
369.3994140625	n/a	378265	condition 19
383.1328125000	n/a	392328	27
395.4326171875	n/a	404923	33
409.3652343750	n/a	419190	condition 26
422.4658203125	n/a	432605	condition 18
435.2148437500	n/a	445660	condition 64
448.4648437500	n/a	459228	27
461.6650390625	n/a	472745	condition 18
475.1816406250	n/a	486586	33
488.8310546875	n/a	500563	condition 64
501.4150390625	n/a	513449	33
514.6816406250	n/a	527034	condition 65
522.9042968750	n/a	535454	condition 64
523.0683593750	n/a	535622	condition 64
527.3974609375	n/a	540055	27
