onset	duration	sample	value
6.6767578125	n/a	6837	condition 65
19.6259765625	n/a	20097	condition 32
33.6259765625	n/a	34433	condition 26
46.5595703125	n/a	47677	condition 65
60.6591796875	n/a	62115	33
72.9589843750	n/a	74710	27
86.1591796875	n/a	88227	condition 18
98.5585937500	n/a	100924	33
111.7089843750	n/a	114390	condition 18
125.7089843750	n/a	128726	condition 26
139.2919921875	n/a	142635	condition 64
151.5253906250	n/a	155162	condition 26
165.3251953125	n/a	169293	condition 19
178.5917968750	n/a	182878	condition 65
191.8916015625	n/a	196497	33
204.6748046875	n/a	209587	condition 19
218.5410156250	n/a	223786	condition 64
231.9746093750	n/a	237542	condition 65
245.4072265625	n/a	251297	27
257.8574218750	n/a	264046	condition 18
271.0410156250	n/a	277546	33
284.7744140625	n/a	291609	27
298.6904296875	n/a	305859	condition 32
310.9736328125	n/a	318437	condition 26
323.5234375000	n/a	331288	condition 64
336.8066406250	n/a	344890	condition 26
350.2568359375	n/a	358663	condition 65
363.9062500000	n/a	372640	condition 64
376.1562500000	n/a	385184	condition 18
390.0400390625	n/a	399401	27
404.0058593750	n/a	413702	condition 32
416.3896484375	n/a	426383	condition 19
428.9228515625	n/a	439217	condition 32
441.2060546875	n/a	451795	condition 64
454.7558593750	n/a	465670	condition 19
468.0224609375	n/a	479255	condition 32
480.4052734375	n/a	491935	27
493.4550781250	n/a	505298	condition 18
506.1054687500	n/a	518252	condition 19
518.5722656250	n/a	531018	33
