onset	duration	sample	value
10.5351562500	n/a	10788	condition 65
23.2353515625	n/a	23793	condition 32
36.4521484375	n/a	37327	condition 26
50.4013671875	n/a	51611	condition 65
64.0849609375	n/a	65623	33
77.7343750000	n/a	79600	27
91.0009765625	n/a	93185	condition 18
103.8681640625	n/a	106361	33
116.0009765625	n/a	118785	condition 18
129.9179687500	n/a	133036	condition 26
142.5341796875	n/a	145955	condition 64
154.8173828125	n/a	158533	condition 26
167.1337890625	n/a	171145	condition 19
181.1669921875	n/a	185515	condition 65
195.3007812500	n/a	199988	33
207.9667968750	n/a	212958	condition 19
221.0498046875	n/a	226355	condition 64
234.2666015625	n/a	239889	condition 65
247.6835937500	n/a	253628	27
261.0664062500	n/a	267332	condition 18
273.4160156250	n/a	279978	33
287.0830078125	n/a	293973	27
300.7666015625	n/a	307985	condition 32
314.6494140625	n/a	322201	condition 26
327.0488281250	n/a	334898	condition 64
339.4326171875	n/a	347579	condition 26
351.9658203125	n/a	360413	condition 65
365.6826171875	n/a	374459	condition 64
378.7490234375	n/a	387839	condition 18
392.1816406250	n/a	401594	27
405.5654296875	n/a	415299	condition 32
419.2148437500	n/a	429276	condition 19
432.1816406250	n/a	442554	condition 32
445.7646484375	n/a	456463	condition 64
459.6816406250	n/a	470714	condition 19
473.3144531250	n/a	484674	condition 32
486.7978515625	n/a	498481	27
500.4648437500	n/a	512476	condition 18
513.5644531250	n/a	525890	condition 19
526.3476562500	n/a	538980	33
