onset	duration	sample	value
8.3740234375	n/a	8575	27
20.9746093750	n/a	21478	condition 64
34.8574218750	n/a	35694	condition 32
47.2568359375	n/a	48391	33
59.7900390625	n/a	61225	condition 26
72.9736328125	n/a	74725	condition 18
87.0234375000	n/a	89112	condition 26
99.2402343750	n/a	101622	condition 65
112.9736328125	n/a	115685	condition 65
126.5068359375	n/a	129543	condition 32
139.5566406250	n/a	142906	condition 19
152.0898437500	n/a	155740	33
165.3398437500	n/a	169308	condition 26
177.8056640625	n/a	182073	condition 19
190.2226562500	n/a	194788	condition 65
203.9560546875	n/a	208851	condition 64
216.6054687500	n/a	221804	condition 64
229.1220703125	n/a	234621	condition 18
242.8720703125	n/a	248701	condition 18
256.4052734375	n/a	262559	27
269.9384765625	n/a	276417	condition 32
282.5048828125	n/a	289285	condition 19
295.1884765625	n/a	302273	condition 64
307.5546875000	n/a	314936	condition 32
319.7548828125	n/a	327429	condition 65
331.8876953125	n/a	339853	condition 19
345.0546875000	n/a	353336	condition 26
358.1875000000	n/a	366784	33
372.3544921875	n/a	381291	27
386.3876953125	n/a	395661	condition 64
398.8378906250	n/a	408410	27
412.7871093750	n/a	422694	condition 18
425.9707031250	n/a	436194	33
439.5371093750	n/a	450086	condition 19
453.5205078125	n/a	464405	condition 26
466.1035156250	n/a	477290	condition 18
479.4531250000	n/a	490960	27
492.0029296875	n/a	503811	condition 32
505.3535156250	n/a	517482	33
517.7695312500	n/a	530196	condition 65
