onset	duration	sample	value
106.0214843750	n/a	108566	97
118.6044921875	n/a	121451	condition 32
132.1201171875	n/a	135291	condition 64
144.8535156250	n/a	148330	97
158.9375000000	n/a	162752	33
171.4873046875	n/a	175603	condition 65
183.9199218750	n/a	188334	118
197.6201171875	n/a	202363	33
210.9033203125	n/a	215965	118
225.0527343750	n/a	230454	condition 64
238.5859375000	n/a	244312	condition 96
251.5029296875	n/a	257539	condition 64
264.3027343750	n/a	270646	119
277.8359375000	n/a	284504	97
290.1357421875	n/a	297099	33
303.5693359375	n/a	310855	119
317.1855468750	n/a	324798	condition 96
329.8691406250	n/a	337786	97
343.0185546875	n/a	351251	condition 65
356.7519531250	n/a	365314	118
370.2353515625	n/a	379121	33
382.6845703125	n/a	391869	condition 65
395.5019531250	n/a	404994	condition 32
409.5849609375	n/a	419415	condition 64
422.4843750000	n/a	432624	condition 96
435.8183593750	n/a	446278	condition 64
449.6181640625	n/a	460409	97
462.8007812500	n/a	473908	condition 96
475.1337890625	n/a	486537	118
488.8173828125	n/a	500549	condition 65
502.4169921875	n/a	514475	condition 32
515.5673828125	n/a	527941	119
528.3505859375	n/a	541031	condition 32
542.3339843750	n/a	555350	condition 96
555.6005859375	n/a	568935	119
569.2500000000	n/a	582912	condition 32
582.7167968750	n/a	596702	condition 65
596.2998046875	n/a	610611	118
610.3828125000	n/a	625032	119
623.4492187500	n/a	638412	33
