onset	duration	sample	value
37.7929687500	n/a	38700	119
50.9423828125	n/a	52165	condition 64
64.2089843750	n/a	65750	119
77.8925781250	n/a	79762	97
90.3085937500	n/a	92476	119
103.6757812500	n/a	106164	33
116.4082031250	n/a	119202	condition 96
130.0087890625	n/a	133129	condition 64
143.4580078125	n/a	146901	97
156.5751953125	n/a	160333	118
169.4746093750	n/a	173542	condition 32
183.2744140625	n/a	187673	condition 32
196.5244140625	n/a	201241	118
210.3574218750	n/a	215406	condition 32
222.8408203125	n/a	228189	condition 96
235.6738281250	n/a	241330	condition 64
248.5244140625	n/a	254489	97
261.9072265625	n/a	268193	119
275.8076171875	n/a	282427	condition 32
288.9902343750	n/a	295926	condition 65
302.1240234375	n/a	309375	97
314.9404296875	n/a	322499	condition 65
328.6396484375	n/a	336527	118
342.6904296875	n/a	350915	33
356.1728515625	n/a	364721	condition 32
369.9726562500	n/a	378852	condition 64
383.3896484375	n/a	392591	condition 96
395.7060546875	n/a	405203	119
408.7890625000	n/a	418600	condition 65
422.2890625000	n/a	432424	33
434.7558593750	n/a	445190	condition 64
447.7558593750	n/a	458502	118
461.3388671875	n/a	472411	condition 96
475.2050781250	n/a	486610	condition 65
487.6718750000	n/a	499376	118
501.4716796875	n/a	513507	33
515.3046875000	n/a	527672	condition 96
527.8212890625	n/a	540489	33
541.5546875000	n/a	554552	97
553.8710937500	n/a	567164	condition 65
