onset	duration	sample	value
8.1562500000	n/a	8352	condition 65
22.2236328125	n/a	22757	condition 32
35.0234375000	n/a	35864	condition 26
47.6230468750	n/a	48766	condition 65
60.6230468750	n/a	62078	33
73.2558593750	n/a	75014	27
85.5722656250	n/a	87626	condition 18
98.4062500000	n/a	100768	33
111.4892578125	n/a	114165	condition 18
123.7724609375	n/a	126743	condition 26
136.7060546875	n/a	139987	condition 64
150.5722656250	n/a	154186	condition 26
164.4882812500	n/a	168436	condition 19
177.4052734375	n/a	181663	condition 65
189.9218750000	n/a	194480	33
203.1220703125	n/a	207997	condition 19
215.3544921875	n/a	220523	condition 64
227.8378906250	n/a	233306	condition 65
240.9716796875	n/a	246755	27
253.6044921875	n/a	259691	condition 18
267.5048828125	n/a	273925	33
279.8876953125	n/a	286605	27
292.9375000000	n/a	299968	condition 32
305.2041015625	n/a	312529	condition 26
317.6542968750	n/a	325278	condition 64
330.9707031250	n/a	338914	condition 26
343.1533203125	n/a	351389	condition 65
355.7373046875	n/a	364275	condition 64
368.8701171875	n/a	377723	condition 18
381.2373046875	n/a	390387	27
395.3867187500	n/a	404876	condition 32
408.6533203125	n/a	418461	condition 19
421.8701171875	n/a	431995	condition 32
434.3027343750	n/a	444726	condition 64
448.2031250000	n/a	458960	condition 19
461.5361328125	n/a	472613	condition 32
474.9697265625	n/a	486369	27
487.3525390625	n/a	499049	condition 18
500.2861328125	n/a	512293	condition 19
513.3857421875	n/a	525707	33
