onset	duration	sample	value
8.6982421875	n/a	8907	condition 65
21.8974609375	n/a	22423	condition 32
35.6308593750	n/a	36486	condition 26
48.0810546875	n/a	49235	condition 65
60.6972656250	n/a	62154	33
73.7304687500	n/a	75500	27
86.8642578125	n/a	88949	condition 18
99.7304687500	n/a	102124	33
112.2802734375	n/a	114975	condition 18
125.9804687500	n/a	129004	condition 26
138.6796875000	n/a	142008	condition 64
151.1962890625	n/a	154825	condition 26
164.6464843750	n/a	168598	condition 19
178.3134765625	n/a	182593	condition 65
191.4628906250	n/a	196058	33
205.0458984375	n/a	209967	condition 19
219.1464843750	n/a	224406	condition 64
231.4130859375	n/a	236967	condition 65
244.2460937500	n/a	250108	27
258.3955078125	n/a	264597	condition 18
270.9785156250	n/a	277482	33
283.7119140625	n/a	290521	27
296.7119140625	n/a	303833	condition 32
310.2451171875	n/a	317691	condition 26
322.9287109375	n/a	330679	condition 64
336.5117187500	n/a	344588	condition 26
349.1445312500	n/a	357524	condition 65
363.1611328125	n/a	371877	condition 64
375.5449218750	n/a	384558	condition 18
387.9609375000	n/a	397272	27
400.3281250000	n/a	409936	condition 32
413.3447265625	n/a	423265	condition 19
426.2773437500	n/a	436508	condition 32
438.8769531250	n/a	449410	condition 64
451.1445312500	n/a	461972	condition 19
464.0439453125	n/a	475181	condition 32
476.6103515625	n/a	488049	27
489.8105468750	n/a	501566	condition 18
502.3437500000	n/a	514400	condition 19
515.7929687500	n/a	528172	33
