onset	duration	sample	value
0.7031250000	n/a	720	97
73.7480468750	n/a	75518	119
87.1650390625	n/a	89257	condition 64
100.8144531250	n/a	103234	119
114.7480468750	n/a	117502	97
128.3310546875	n/a	131411	119
141.5478515625	n/a	144945	33
153.9140625000	n/a	157608	condition 96
166.8476562500	n/a	170852	condition 64
180.5810546875	n/a	184915	97
194.3642578125	n/a	199029	118
207.7304687500	n/a	212716	condition 32
220.5302734375	n/a	225823	condition 32
233.0468750000	n/a	238640	118
245.9804687500	n/a	251884	condition 32
258.4638671875	n/a	264667	condition 96
270.7304687500	n/a	277228	condition 64
284.3964843750	n/a	291222	97
297.6464843750	n/a	304790	119
311.3134765625	n/a	318785	condition 32
324.4794921875	n/a	332267	condition 65
337.1796875000	n/a	345272	97
351.1962890625	n/a	359625	condition 65
363.3125000000	n/a	372032	118
376.3291015625	n/a	385361	33
389.2119140625	n/a	398553	condition 32
402.4619140625	n/a	412121	condition 64
415.3623046875	n/a	425331	condition 96
427.6289062500	n/a	437892	119
440.2119140625	n/a	450777	condition 65
452.8789062500	n/a	463748	33
466.7949218750	n/a	477998	condition 64
479.5781250000	n/a	491088	118
492.2783203125	n/a	504093	condition 96
504.7275390625	n/a	516841	condition 65
518.6611328125	n/a	531109	118
532.4277343750	n/a	545206	33
546.1445312500	n/a	559252	condition 96
559.0439453125	n/a	572461	33
572.1269531250	n/a	585858	97
585.7773437500	n/a	599836	condition 65
