onset	duration	sample	value
11.7812500000	n/a	12064	119
25.5820312500	n/a	26196	condition 64
39.2480468750	n/a	40190	119
53.2480468750	n/a	54526	97
65.5810546875	n/a	67155	119
77.7978515625	n/a	79665	33
90.0644531250	n/a	92226	condition 96
102.4306640625	n/a	104889	condition 64
114.6972656250	n/a	117450	97
127.4306640625	n/a	130489	118
139.7968750000	n/a	143152	condition 32
152.6132812500	n/a	156276	condition 32
165.3632812500	n/a	169332	118
177.8466796875	n/a	182115	condition 32
191.0800781250	n/a	195666	condition 96
204.3466796875	n/a	209251	condition 64
217.8964843750	n/a	223126	97
230.4296875000	n/a	235960	119
244.1132812500	n/a	249972	condition 32
257.2792968750	n/a	263454	condition 65
269.7626953125	n/a	276237	97
283.0791015625	n/a	289873	condition 65
296.9453125000	n/a	304072	118
310.5957031250	n/a	318050	33
322.9121093750	n/a	330662	condition 32
336.2451171875	n/a	344315	condition 64
350.3955078125	n/a	358805	condition 96
362.5781250000	n/a	371280	119
375.5449218750	n/a	384558	condition 65
389.1445312500	n/a	398484	33
401.6777343750	n/a	411318	condition 64
414.1279296875	n/a	424067	118
426.6611328125	n/a	436901	condition 96
440.3115234375	n/a	450879	condition 65
453.3281250000	n/a	464208	118
466.9941406250	n/a	478202	33
480.3271484375	n/a	491855	condition 96
493.1269531250	n/a	504962	33
507.2441406250	n/a	519418	97
521.0273437500	n/a	533532	condition 65
