onset	duration	sample	value
8.4755859375	n/a	8679	condition 19
22.0751953125	n/a	22605	condition 26
35.9248046875	n/a	36787	condition 19
49.9755859375	n/a	51175	condition 65
63.9746093750	n/a	65510	condition 19
77.3750000000	n/a	79232	33
89.5576171875	n/a	91707	condition 64
102.3916015625	n/a	104849	condition 26
114.8251953125	n/a	117581	condition 65
127.1582031250	n/a	130210	condition 18
140.8574218750	n/a	144238	condition 32
154.2246093750	n/a	157926	condition 32
167.9072265625	n/a	171937	condition 18
180.9570312500	n/a	185300	condition 32
193.5234375000	n/a	198168	condition 64
207.4238281250	n/a	212402	condition 26
221.2402343750	n/a	226550	condition 65
234.0234375000	n/a	239640	condition 19
247.3896484375	n/a	253327	condition 32
259.8398437500	n/a	266076	27
272.6894531250	n/a	279234	condition 65
286.5566406250	n/a	293434	27
298.9726562500	n/a	306148	condition 18
311.2060546875	n/a	318675	33
325.2392578125	n/a	333045	condition 32
338.7060546875	n/a	346835	condition 26
352.6054687500	n/a	361068	condition 64
366.1386718750	n/a	374926	condition 19
378.7558593750	n/a	387846	27
391.0722656250	n/a	400458	33
404.2050781250	n/a	413906	condition 26
417.1718750000	n/a	427184	condition 18
430.4218750000	n/a	440752	condition 64
444.1220703125	n/a	454781	27
457.6718750000	n/a	468656	condition 18
470.3046875000	n/a	481592	33
484.1376953125	n/a	495757	condition 64
497.0380859375	n/a	508967	33
510.7548828125	n/a	523013	condition 65
523.0214843750	n/a	535574	27
