onset	duration	sample	value
17.2363281250	n/a	17650	119
30.1357421875	n/a	30859	condition 64
42.6523437500	n/a	43676	119
56.7519531250	n/a	58114	97
69.6357421875	n/a	71307	119
82.6855468750	n/a	84670	33
95.9189453125	n/a	98221	condition 96
108.8017578125	n/a	111413	condition 64
121.8183593750	n/a	124742	97
134.3017578125	n/a	137525	118
147.3017578125	n/a	150837	condition 32
160.6513671875	n/a	164507	condition 32
173.7675781250	n/a	177938	118
187.2343750000	n/a	191728	condition 32
199.9511718750	n/a	204750	condition 96
212.3671875000	n/a	217464	condition 64
224.6513671875	n/a	230043	97
237.3837890625	n/a	243081	119
250.2343750000	n/a	256240	condition 32
263.7500000000	n/a	270080	condition 65
276.3339843750	n/a	282966	97
288.7832031250	n/a	295714	condition 65
301.2167968750	n/a	308446	118
314.9667968750	n/a	322526	33
327.7001953125	n/a	335565	condition 32
341.4667968750	n/a	349662	condition 64
353.7167968750	n/a	362206	condition 96
366.9492187500	n/a	375756	119
379.2490234375	n/a	388351	condition 65
392.3828125000	n/a	401800	33
405.5322265625	n/a	415265	condition 64
419.4160156250	n/a	429482	118
431.9160156250	n/a	442282	condition 96
444.8652343750	n/a	455542	condition 65
458.0654296875	n/a	469059	118
472.0654296875	n/a	483395	33
485.9316406250	n/a	497594	condition 96
498.3818359375	n/a	510343	33
511.1982421875	n/a	523467	97
524.1816406250	n/a	536762	condition 65
