onset	duration	sample	value
29.2587890625	n/a	29961	condition 65
42.1757812500	n/a	43188	condition 96
55.3925781250	n/a	56722	condition 32
67.9091796875	n/a	69539	33
81.5087890625	n/a	83465	condition 64
94.6416015625	n/a	96913	118
107.2080078125	n/a	109781	condition 64
120.6250000000	n/a	123520	97
134.4414062500	n/a	137668	97
148.1582031250	n/a	151714	condition 32
161.9248046875	n/a	165811	119
174.8408203125	n/a	179037	33
187.2080078125	n/a	191701	condition 64
200.9746093750	n/a	205798	119
214.1074218750	n/a	219246	97
226.7744140625	n/a	232217	condition 96
239.3740234375	n/a	245119	condition 96
252.8242187500	n/a	258892	118
265.4736328125	n/a	271845	118
278.0068359375	n/a	284679	condition 65
291.5234375000	n/a	298520	condition 32
304.9404296875	n/a	312259	119
318.9736328125	n/a	326629	condition 96
331.1728515625	n/a	339121	condition 32
344.6064453125	n/a	352877	97
358.3066406250	n/a	366906	119
371.7392578125	n/a	380661	condition 64
384.2392578125	n/a	393461	33
396.6230468750	n/a	406142	condition 65
409.8388671875	n/a	419675	condition 96
422.1894531250	n/a	432322	condition 65
434.8056640625	n/a	445241	118
447.3720703125	n/a	458109	33
459.8388671875	n/a	470875	119
473.8222656250	n/a	485194	condition 64
487.6220703125	n/a	499325	118
501.6054687500	n/a	513644	condition 65
514.9218750000	n/a	527280	condition 32
528.4384765625	n/a	541121	33
541.8212890625	n/a	554825	97
