onset	duration	sample	value
9.6357421875	n/a	9867	condition 19
22.1855468750	n/a	22718	condition 26
35.9189453125	n/a	36781	condition 19
48.3515625000	n/a	49512	condition 65
62.1015625000	n/a	63592	condition 19
75.0517578125	n/a	76853	33
89.0517578125	n/a	91189	condition 64
102.2685546875	n/a	104723	condition 26
115.9677734375	n/a	118751	condition 65
128.6513671875	n/a	131739	condition 18
142.6181640625	n/a	146041	condition 32
155.9677734375	n/a	159711	condition 32
168.7841796875	n/a	172835	condition 18
182.6005859375	n/a	186983	condition 32
195.9843750000	n/a	200688	condition 64
209.1337890625	n/a	214153	condition 26
222.4003906250	n/a	227738	condition 65
234.6835937500	n/a	240316	condition 19
247.0673828125	n/a	252997	condition 32
260.7998046875	n/a	267059	27
274.9003906250	n/a	281498	condition 65
287.7998046875	n/a	294707	27
300.5166015625	n/a	307729	condition 18
314.1328125000	n/a	321672	33
327.0498046875	n/a	334899	condition 32
340.8662109375	n/a	349047	condition 26
354.9658203125	n/a	363485	condition 64
367.2490234375	n/a	376063	condition 19
379.9160156250	n/a	389034	27
393.9824218750	n/a	403438	33
406.1660156250	n/a	415914	condition 26
419.1992187500	n/a	429260	condition 18
433.0156250000	n/a	443408	condition 64
446.0986328125	n/a	456805	27
459.6484375000	n/a	470680	condition 18
473.3652343750	n/a	484726	33
485.8320312500	n/a	497492	condition 64
497.9814453125	n/a	509933	33
511.5312500000	n/a	523808	condition 65
523.7812500000	n/a	536352	27
