onset	duration	sample	value
20.0488281250	n/a	20530	119
32.5322265625	n/a	33313	condition 64
44.7646484375	n/a	45839	119
58.1816406250	n/a	59578	97
71.8144531250	n/a	73538	119
84.5478515625	n/a	86577	33
98.1982421875	n/a	100555	condition 96
111.6982421875	n/a	114379	condition 64
124.9472656250	n/a	127946	97
138.8310546875	n/a	142163	118
152.8808593750	n/a	156550	condition 32
166.0810546875	n/a	170067	condition 32
178.1806640625	n/a	182457	118
191.0634765625	n/a	195649	condition 32
205.0966796875	n/a	210019	condition 96
219.2138671875	n/a	224475	condition 64
231.9638671875	n/a	237531	97
245.8798828125	n/a	251781	119
258.2128906250	n/a	264410	condition 32
270.7968750000	n/a	277296	condition 65
284.1464843750	n/a	290966	97
297.4296875000	n/a	304568	condition 65
310.8457031250	n/a	318306	118
323.9296875000	n/a	331704	33
337.9121093750	n/a	346022	condition 32
350.6621093750	n/a	359078	condition 64
363.9785156250	n/a	372714	condition 96
376.1621093750	n/a	385190	119
389.5283203125	n/a	398877	condition 65
403.0283203125	n/a	412701	33
415.8623046875	n/a	425843	condition 64
428.0947265625	n/a	438369	118
441.2949218750	n/a	451886	condition 96
455.3613281250	n/a	466290	condition 65
468.0117187500	n/a	479244	118
481.9775390625	n/a	493545	33
496.1279296875	n/a	508035	condition 96
508.4775390625	n/a	520681	33
522.0605468750	n/a	534590	97
536.2109375000	n/a	549080	condition 65
