onset	duration	sample	value
14.2031250000	n/a	14544	97
28.0869140625	n/a	28761	condition 32
41.4365234375	n/a	42431	condition 64
54.3027343750	n/a	55606	97
66.9863281250	n/a	68594	33
79.9199218750	n/a	81838	condition 65
93.8027343750	n/a	96054	118
106.3027343750	n/a	108854	33
120.3691406250	n/a	123258	118
133.4687500000	n/a	136672	condition 64
146.4687500000	n/a	149984	condition 96
159.6191406250	n/a	163450	condition 64
172.7187500000	n/a	176864	119
186.3183593750	n/a	190790	97
199.6855468750	n/a	204478	33
213.6347656250	n/a	218762	119
227.1855468750	n/a	232638	condition 96
240.3847656250	n/a	246154	97
253.6181640625	n/a	259705	condition 65
266.3515625000	n/a	272744	118
279.5507812500	n/a	286260	33
293.3681640625	n/a	300409	condition 65
306.2011718750	n/a	313550	condition 32
318.5009765625	n/a	326145	condition 64
332.3847656250	n/a	340362	condition 96
345.6669921875	n/a	353963	condition 64
359.0507812500	n/a	367668	97
371.6337890625	n/a	380553	condition 96
385.2666015625	n/a	394513	118
398.3164062500	n/a	407876	condition 65
411.5000000000	n/a	421376	condition 32
423.9501953125	n/a	434125	119
437.1328125000	n/a	447624	condition 32
451.2998046875	n/a	462131	condition 96
465.2666015625	n/a	476433	119
477.7490234375	n/a	489215	condition 32
490.5830078125	n/a	502357	condition 65
503.6494140625	n/a	515737	118
516.8154296875	n/a	529219	119
529.1152343750	n/a	541814	33
