onset	duration	sample	value
9.3046875000	n/a	9528	condition 19
21.9042968750	n/a	22430	condition 26
34.5214843750	n/a	35350	condition 19
48.3544921875	n/a	49515	condition 65
61.4042968750	n/a	62878	condition 19
75.0712890625	n/a	76873	33
88.7207031250	n/a	90850	condition 64
102.8876953125	n/a	105357	condition 26
116.5039062500	n/a	119300	condition 65
128.7539062500	n/a	131844	condition 18
141.2539062500	n/a	144644	condition 32
155.0869140625	n/a	158809	condition 32
169.1865234375	n/a	173247	condition 18
183.3037109375	n/a	187703	condition 32
196.7695312500	n/a	201492	condition 64
209.1367187500	n/a	214156	condition 26
222.3867187500	n/a	227724	condition 65
234.6699218750	n/a	240302	condition 19
248.3691406250	n/a	254330	condition 32
261.0361328125	n/a	267301	27
273.5859375000	n/a	280152	condition 65
287.2353515625	n/a	294129	27
299.9687500000	n/a	307168	condition 18
313.1523437500	n/a	320668	33
325.5019531250	n/a	333314	condition 32
338.7519531250	n/a	346882	condition 26
352.6523437500	n/a	361116	condition 64
365.6181640625	n/a	374393	condition 19
378.0849609375	n/a	387159	27
392.0351562500	n/a	401444	33
405.2011718750	n/a	414926	condition 26
418.2851562500	n/a	428324	condition 18
431.5849609375	n/a	441943	condition 64
444.8017578125	n/a	455477	27
457.3007812500	n/a	468276	condition 18
469.7841796875	n/a	481059	33
483.1679687500	n/a	494764	condition 64
497.2509765625	n/a	509185	33
509.9169921875	n/a	522155	condition 65
522.1835937500	n/a	534716	27
