onset	duration	sample	value
15.2919921875	n/a	15659	condition 19
28.1416015625	n/a	28817	condition 26
40.8085937500	n/a	41788	condition 19
54.7578125000	n/a	56072	condition 65
67.7246093750	n/a	69350	condition 19
80.3906250000	n/a	82320	33
94.3906250000	n/a	96656	condition 64
106.6406250000	n/a	109200	condition 26
120.6904296875	n/a	123587	condition 65
132.9404296875	n/a	136131	condition 18
146.5908203125	n/a	150109	condition 32
159.4736328125	n/a	163301	condition 32
172.5400390625	n/a	176681	condition 18
185.5732421875	n/a	190027	condition 32
198.1562500000	n/a	202912	condition 64
211.5234375000	n/a	216600	condition 26
224.3232421875	n/a	229707	condition 65
238.3564453125	n/a	244077	condition 19
251.6894531250	n/a	257730	condition 32
264.4062500000	n/a	270752	27
278.1562500000	n/a	284832	condition 65
291.4072265625	n/a	298401	27
305.3554687500	n/a	312684	condition 18
319.4052734375	n/a	327071	33
333.4550781250	n/a	341458	condition 32
347.3056640625	n/a	355641	condition 26
360.9238281250	n/a	369586	condition 64
374.2880859375	n/a	383271	condition 19
388.2548828125	n/a	397573	27
402.1718750000	n/a	411824	33
415.1376953125	n/a	425101	condition 26
427.8046875000	n/a	438072	condition 18
441.6875000000	n/a	452288	condition 64
455.1376953125	n/a	466061	27
467.3378906250	n/a	478554	condition 18
480.2705078125	n/a	491797	33
493.0878906250	n/a	504922	condition 64
505.9042968750	n/a	518046	33
519.3535156250	n/a	531818	condition 65
533.1367187500	n/a	545932	27
