onset	duration	sample	value
14.9248046875	n/a	15283	condition 65
28.1416015625	n/a	28817	condition 96
40.3750000000	n/a	41344	condition 32
53.8251953125	n/a	55117	33
67.8085937500	n/a	69436	condition 64
81.8750000000	n/a	83840	118
95.9580078125	n/a	98261	condition 64
109.1914062500	n/a	111812	97
122.4921875000	n/a	125432	97
136.0908203125	n/a	139357	condition 32
149.6240234375	n/a	153215	119
163.0576171875	n/a	166971	33
176.1074218750	n/a	180334	condition 64
189.3232421875	n/a	193867	119
202.2236328125	n/a	207077	97
215.8398437500	n/a	221020	condition 96
228.6064453125	n/a	234093	condition 96
241.5068359375	n/a	247303	118
255.6562500000	n/a	261792	118
269.3896484375	n/a	275855	condition 65
281.9726562500	n/a	288740	condition 32
294.3398437500	n/a	301404	119
307.8056640625	n/a	315193	condition 96
321.9062500000	n/a	329632	condition 32
334.3056640625	n/a	342329	97
347.3056640625	n/a	355641	119
360.0224609375	n/a	368663	condition 64
372.6054687500	n/a	381548	33
386.0214843750	n/a	395286	condition 65
399.9384765625	n/a	409537	condition 96
412.2548828125	n/a	422149	condition 65
426.3212890625	n/a	436553	118
440.4384765625	n/a	451009	33
453.8710937500	n/a	464764	119
467.6708984375	n/a	478895	condition 64
480.3876953125	n/a	491917	118
493.9541015625	n/a	505809	condition 65
507.6044921875	n/a	519787	condition 32
519.9208984375	n/a	532399	33
532.6210937500	n/a	545404	97
