onset	duration	sample	value
12.7509765625	n/a	13057	97
25.3007812500	n/a	25908	condition 32
37.9169921875	n/a	38827	condition 64
51.0166015625	n/a	52241	97
64.8505859375	n/a	66407	33
78.3330078125	n/a	80213	condition 65
91.0664062500	n/a	93252	118
105.0664062500	n/a	107588	33
117.1992187500	n/a	120012	118
131.0996093750	n/a	134246	condition 64
143.5830078125	n/a	147029	condition 96
156.1162109375	n/a	159863	condition 64
168.4160156250	n/a	172458	119
182.0488281250	n/a	186418	97
196.0488281250	n/a	200754	33
209.8818359375	n/a	214919	119
223.7822265625	n/a	229153	condition 96
237.5986328125	n/a	243301	97
251.1152343750	n/a	257142	condition 65
263.6816406250	n/a	270010	118
276.3154296875	n/a	282947	33
289.3486328125	n/a	296293	condition 65
302.3310546875	n/a	309587	condition 32
315.7812500000	n/a	323360	condition 64
329.6142578125	n/a	337525	condition 96
341.9814453125	n/a	350189	condition 64
354.2480468750	n/a	362750	97
366.7470703125	n/a	375549	condition 96
379.9804687500	n/a	389100	118
393.2470703125	n/a	402685	condition 65
406.7304687500	n/a	416492	condition 32
418.8300781250	n/a	428882	119
432.4140625000	n/a	442792	condition 32
444.9472656250	n/a	455626	condition 96
457.5966796875	n/a	468579	119
470.8300781250	n/a	482130	condition 32
483.1298828125	n/a	494725	condition 65
495.7626953125	n/a	507661	118
508.5625000000	n/a	520768	119
521.8291015625	n/a	534353	33
