onset	duration	sample	value
16.3789062500	n/a	16772	97
29.8125000000	n/a	30528	condition 32
42.1787109375	n/a	43191	condition 64
55.6621093750	n/a	56998	97
68.9287109375	n/a	70583	33
82.6289062500	n/a	84612	condition 65
95.6455078125	n/a	97941	118
109.0947265625	n/a	111713	33
122.5781250000	n/a	125520	118
135.1777343750	n/a	138422	condition 64
148.5781250000	n/a	152144	condition 96
162.1279296875	n/a	166019	condition 64
175.0947265625	n/a	179297	119
188.2275390625	n/a	192745	97
200.6279296875	n/a	205443	33
213.8769531250	n/a	219010	119
227.1113281250	n/a	232562	condition 96
240.8105468750	n/a	246590	97
253.6767578125	n/a	259765	condition 65
266.0273437500	n/a	272412	118
279.1601562500	n/a	285860	33
293.1601562500	n/a	300196	condition 65
305.4765625000	n/a	312808	condition 32
319.4765625000	n/a	327144	condition 64
332.6093750000	n/a	340592	condition 96
346.1259765625	n/a	354433	condition 64
359.8427734375	n/a	368479	97
373.6425781250	n/a	382610	condition 96
387.4257812500	n/a	396724	118
400.3427734375	n/a	409951	condition 65
412.6591796875	n/a	422563	condition 32
425.5253906250	n/a	435738	119
439.2919921875	n/a	449835	condition 32
452.2919921875	n/a	463147	condition 96
464.9082031250	n/a	476066	119
478.8085937500	n/a	490300	condition 32
492.5751953125	n/a	504397	condition 65
506.1582031250	n/a	518306	118
519.1416015625	n/a	531601	119
531.5410156250	n/a	544298	33
