onset	duration	sample	value
15.1718750000	n/a	15536	condition 65
28.3388671875	n/a	29019	condition 96
41.4384765625	n/a	42433	condition 32
54.6054687500	n/a	55916	33
68.3554687500	n/a	69996	condition 64
80.7548828125	n/a	82693	118
94.7714843750	n/a	97046	condition 64
108.9716796875	n/a	111587	97
122.9716796875	n/a	125923	97
135.4707031250	n/a	138722	condition 32
149.3710937500	n/a	152956	119
161.9541015625	n/a	165841	33
175.2539062500	n/a	179460	condition 64
188.8369140625	n/a	193369	119
202.8701171875	n/a	207739	97
216.1533203125	n/a	221341	condition 96
229.1201171875	n/a	234619	condition 96
242.7207031250	n/a	248546	118
255.4199218750	n/a	261550	118
269.2197265625	n/a	275681	condition 65
282.3037109375	n/a	289079	condition 32
295.9199218750	n/a	303022	119
308.9365234375	n/a	316351	condition 96
322.8027343750	n/a	330550	condition 32
336.4365234375	n/a	344511	97
350.0527343750	n/a	358454	119
363.6357421875	n/a	372363	condition 64
377.4687500000	n/a	386528	33
390.1523437500	n/a	399516	condition 65
403.8857421875	n/a	413579	condition 96
416.1689453125	n/a	426157	condition 65
429.9687500000	n/a	440288	118
443.6347656250	n/a	454282	33
455.7353515625	n/a	466673	119
468.6679687500	n/a	479916	condition 64
481.1347656250	n/a	492682	118
493.7851562500	n/a	505636	condition 65
507.5683593750	n/a	519750	condition 32
520.4843750000	n/a	532976	33
532.7675781250	n/a	545554	97
