onset	duration	sample	value
19.8017578125	n/a	20277	119
32.9687500000	n/a	33760	condition 64
46.2841796875	n/a	47395	119
59.6513671875	n/a	61083	97
72.3339843750	n/a	74070	119
86.5507812500	n/a	88628	33
100.2177734375	n/a	102623	condition 96
113.6337890625	n/a	116361	condition 64
127.3671875000	n/a	130424	97
139.6669921875	n/a	143019	118
152.0332031250	n/a	155682	condition 32
165.0664062500	n/a	169028	condition 32
177.4501953125	n/a	181709	118
190.4833984375	n/a	195055	condition 32
203.6835937500	n/a	208572	condition 96
215.8662109375	n/a	221047	condition 64
229.6660156250	n/a	235178	97
242.5830078125	n/a	248405	119
256.2656250000	n/a	262416	condition 32
270.4160156250	n/a	276906	condition 65
283.5156250000	n/a	290320	97
296.0986328125	n/a	303205	condition 65
308.5820312500	n/a	315988	118
321.3486328125	n/a	329061	33
335.0654296875	n/a	343107	condition 32
348.2148437500	n/a	356572	condition 64
362.4482421875	n/a	371147	condition 96
375.5986328125	n/a	384613	119
389.1484375000	n/a	398488	condition 65
401.9316406250	n/a	411578	33
415.1650390625	n/a	425129	condition 64
429.1142578125	n/a	439413	118
442.5644531250	n/a	453186	condition 96
456.2646484375	n/a	467215	condition 65
470.2480468750	n/a	481534	118
482.5644531250	n/a	494146	33
495.7968750000	n/a	507696	condition 96
509.1474609375	n/a	521367	33
521.8300781250	n/a	534354	97
534.7968750000	n/a	547632	condition 65
