onset	duration	sample	value
14.2060546875	n/a	14547	97
28.0722656250	n/a	28746	condition 32
41.7050781250	n/a	42706	condition 64
55.6884765625	n/a	57025	97
68.3222656250	n/a	69962	33
81.9882812500	n/a	83956	condition 65
94.4716796875	n/a	96739	118
107.3212890625	n/a	109897	33
120.1210937500	n/a	123004	118
133.3544921875	n/a	136555	condition 64
146.9208984375	n/a	150447	condition 96
160.2041015625	n/a	164049	condition 64
173.1044921875	n/a	177259	119
186.6875000000	n/a	191168	97
200.2539062500	n/a	205060	33
214.3037109375	n/a	219447	119
227.1533203125	n/a	232605	condition 96
240.5703125000	n/a	246344	97
253.4873046875	n/a	259571	condition 65
267.0029296875	n/a	273411	118
280.9199218750	n/a	287662	33
294.1699218750	n/a	301230	condition 65
306.6533203125	n/a	314013	condition 32
320.0195312500	n/a	327700	condition 64
333.3691406250	n/a	341370	condition 96
346.1523437500	n/a	354460	condition 64
359.3359375000	n/a	367960	97
372.3857421875	n/a	381323	condition 96
386.3027343750	n/a	395574	118
398.6025390625	n/a	408169	condition 65
411.8349609375	n/a	421719	condition 32
424.4687500000	n/a	434656	119
438.1015625000	n/a	448616	condition 32
451.3349609375	n/a	462167	condition 96
465.0185546875	n/a	476179	119
477.6513671875	n/a	489115	condition 32
491.6845703125	n/a	503485	condition 65
503.8847656250	n/a	515978	118
517.2011718750	n/a	529614	119
530.6347656250	n/a	543370	33
