onset	duration	sample	value
9.3369140625	n/a	9561	condition 19
21.9541015625	n/a	22481	condition 26
35.7373046875	n/a	36595	condition 19
49.5869140625	n/a	50777	condition 65
62.8535156250	n/a	64362	condition 19
75.4697265625	n/a	77281	33
89.3203125000	n/a	91464	condition 64
102.8203125000	n/a	105288	condition 26
115.2031250000	n/a	117968	condition 65
128.8027343750	n/a	131894	condition 18
141.0195312500	n/a	144404	condition 32
154.3359375000	n/a	158040	condition 32
166.9521484375	n/a	170959	condition 18
180.3691406250	n/a	184698	condition 32
192.6689453125	n/a	197293	condition 64
206.5517578125	n/a	211509	condition 26
220.0517578125	n/a	225333	condition 65
232.5185546875	n/a	238099	condition 19
244.9687500000	n/a	250848	condition 32
258.4179687500	n/a	264620	27
271.4179687500	n/a	277932	condition 65
283.9179687500	n/a	290732	27
296.6181640625	n/a	303737	condition 18
309.6181640625	n/a	317049	33
322.7343750000	n/a	330480	condition 32
336.3515625000	n/a	344424	condition 26
349.0839843750	n/a	357462	condition 64
362.8837890625	n/a	371593	condition 19
375.6845703125	n/a	384701	27
388.0175781250	n/a	397330	33
401.3007812500	n/a	410932	condition 26
413.8505859375	n/a	423783	condition 18
426.4335937500	n/a	436668	condition 64
438.6503906250	n/a	449178	27
451.1005859375	n/a	461927	condition 18
463.5166015625	n/a	474641	33
476.4335937500	n/a	487868	condition 64
489.0996093750	n/a	500838	33
503.1328125000	n/a	515208	condition 65
517.1826171875	n/a	529595	27
