onset	duration	sample	value
8.5278320313	n/a	17465	27
22.1777343750	n/a	45420	condition 64
34.9106445313	n/a	71497	condition 32
48.9604492188	n/a	100271	33
61.4438476563	n/a	125837	condition 26
73.6938476563	n/a	150925	condition 18
86.4106445313	n/a	176969	condition 26
99.4272460938	n/a	203627	condition 65
113.2939453125	n/a	232026	condition 65
126.2431640625	n/a	258546	condition 32
139.1601562500	n/a	285000	condition 19
152.4931640625	n/a	312306	33
165.0761718750	n/a	338076	condition 26
178.9594726563	n/a	366509	condition 19
191.2597656250	n/a	391700	condition 65
204.6093750000	n/a	419040	condition 64
216.7426757813	n/a	443889	condition 64
229.9257812500	n/a	470888	condition 18
244.0424804688	n/a	499799	condition 18
257.8920898438	n/a	528163	27
271.0253906250	n/a	555060	condition 32
284.6088867188	n/a	582879	condition 19
297.1586914063	n/a	608581	condition 64
309.9584960938	n/a	634795	condition 32
323.3085937500	n/a	662136	condition 65
337.0747070313	n/a	690329	condition 19
351.1079101563	n/a	719069	condition 26
364.7246093750	n/a	746956	33
378.1411132813	n/a	774433	27
391.1079101563	n/a	800989	condition 64
404.5742187500	n/a	828568	27
416.8740234375	n/a	853758	condition 18
429.2241210938	n/a	879051	33
441.8574218750	n/a	904924	condition 19
454.8574218750	n/a	931548	condition 26
468.0903320313	n/a	958649	condition 18
480.6572265625	n/a	984386	27
493.5405273438	n/a	1010771	condition 32
507.0903320313	n/a	1038521	33
520.2734375000	n/a	1065520	condition 65
