onset	duration	sample	value
8.5156250000	n/a	8720	condition 19
21.2841796875	n/a	21795	condition 26
34.3994140625	n/a	35225	condition 19
48.0322265625	n/a	49185	condition 65
61.7822265625	n/a	63265	condition 19
74.6982421875	n/a	76491	33
86.8818359375	n/a	88967	condition 64
99.0986328125	n/a	101477	condition 26
112.2148437500	n/a	114908	condition 65
125.5312500000	n/a	128544	condition 18
137.7480468750	n/a	141054	condition 32
150.6484375000	n/a	154264	condition 32
163.4980468750	n/a	167422	condition 18
177.6308593750	n/a	181894	condition 32
190.9814453125	n/a	195565	condition 64
203.6650390625	n/a	208553	condition 26
217.6640625000	n/a	222888	condition 65
230.3974609375	n/a	235927	condition 19
242.5976562500	n/a	248420	condition 32
256.5634765625	n/a	262721	27
270.0634765625	n/a	276545	condition 65
283.5136718750	n/a	290318	27
295.9804687500	n/a	303084	condition 18
308.8134765625	n/a	316225	33
321.4296875000	n/a	329144	condition 32
334.0292968750	n/a	342046	condition 26
346.8798828125	n/a	355205	condition 64
360.7792968750	n/a	369438	condition 19
374.1796875000	n/a	383160	27
387.9960937500	n/a	397308	33
401.4960937500	n/a	411132	condition 26
414.4453125000	n/a	424392	condition 18
426.9951171875	n/a	437243	condition 64
440.3789062500	n/a	450948	27
454.2949218750	n/a	465198	condition 18
467.1455078125	n/a	478357	33
479.8115234375	n/a	491327	condition 64
492.5947265625	n/a	504417	33
505.9785156250	n/a	518122	condition 65
518.8613281250	n/a	531314	27
