onset	duration	sample	value
6.4960937500	n/a	6652	27
20.2626953125	n/a	20749	condition 64
33.1289062500	n/a	33924	condition 32
46.9785156250	n/a	48106	33
59.2958984375	n/a	60719	condition 26
72.5625000000	n/a	74304	condition 18
85.6289062500	n/a	87684	condition 26
98.1953125000	n/a	100552	condition 65
110.4951171875	n/a	113147	condition 65
124.5615234375	n/a	127551	condition 32
137.6611328125	n/a	140965	condition 19
151.2119140625	n/a	154841	33
164.3779296875	n/a	168323	condition 26
177.0615234375	n/a	181311	condition 19
189.6445312500	n/a	194196	condition 65
202.2773437500	n/a	207132	condition 64
215.4443359375	n/a	220615	condition 64
227.5771484375	n/a	233039	condition 18
241.0605468750	n/a	246846	condition 18
253.5937500000	n/a	259680	27
266.3935546875	n/a	272787	condition 32
279.7275390625	n/a	286441	condition 19
292.0439453125	n/a	299053	condition 64
305.9433593750	n/a	313286	condition 32
318.8603515625	n/a	326513	condition 65
331.5937500000	n/a	339552	condition 19
344.5927734375	n/a	352863	condition 26
357.6093750000	n/a	366192	33
370.6591796875	n/a	379555	27
382.9257812500	n/a	392116	condition 64
396.6591796875	n/a	406179	27
410.5927734375	n/a	420447	condition 18
423.0927734375	n/a	433247	33
435.7919921875	n/a	446251	condition 19
449.8085937500	n/a	460604	condition 26
462.5917968750	n/a	473694	condition 18
474.8750000000	n/a	486272	27
487.5253906250	n/a	499226	condition 32
500.9248046875	n/a	512947	33
513.0917968750	n/a	525406	condition 65
