onset	duration	sample	value
55.9541015625	n/a	57297	condition 65
69.9375000000	n/a	71616	condition 96
83.2373046875	n/a	85235	condition 32
96.9365234375	n/a	99263	33
109.9033203125	n/a	112541	condition 64
122.8867187500	n/a	125836	118
136.8369140625	n/a	140121	condition 64
149.6201171875	n/a	153211	97
163.2529296875	n/a	167171	97
176.9199218750	n/a	181166	condition 32
190.8857421875	n/a	195467	119
204.5361328125	n/a	209445	33
218.4853515625	n/a	223729	condition 64
230.9023437500	n/a	236444	119
243.7021484375	n/a	249551	97
256.3857421875	n/a	262539	condition 96
268.9023437500	n/a	275356	condition 96
282.8847656250	n/a	289674	118
295.6181640625	n/a	302713	118
308.9687500000	n/a	316384	condition 65
322.1679687500	n/a	329900	condition 32
335.3183593750	n/a	343366	119
348.9345703125	n/a	357309	condition 96
362.9013671875	n/a	371611	condition 32
375.3173828125	n/a	384325	97
387.4179687500	n/a	396716	119
400.7343750000	n/a	410352	condition 64
413.5009765625	n/a	423425	33
427.1337890625	n/a	437385	condition 65
441.0507812500	n/a	451636	condition 96
454.0839843750	n/a	464982	condition 65
466.8671875000	n/a	478072	118
480.4501953125	n/a	491981	33
493.2001953125	n/a	505037	119
507.1162109375	n/a	519287	condition 64
520.2167968750	n/a	532702	118
533.6494140625	n/a	546457	condition 65
547.2324218750	n/a	560366	condition 32
561.0156250000	n/a	574480	33
573.9492187500	n/a	587724	97
