onset	duration	sample	value
12.6083984375	n/a	12911	condition 65
26.6083984375	n/a	27247	condition 96
32.5136718750	n/a	33294	100
40.5742187500	n/a	41548	condition 32
54.0576171875	n/a	55355	33
67.6240234375	n/a	69247	condition 64
80.7412109375	n/a	82679	118
93.5742187500	n/a	95820	condition 64
107.2402343750	n/a	109814	97
120.4404296875	n/a	123331	97
133.4404296875	n/a	136643	condition 32
146.8906250000	n/a	150416	119
159.0732421875	n/a	162891	33
173.0732421875	n/a	177227	condition 64
185.4228515625	n/a	189873	119
199.2900390625	n/a	204073	97
211.6894531250	n/a	216770	condition 96
225.1064453125	n/a	230509	condition 96
238.5898437500	n/a	244316	118
251.6728515625	n/a	257713	118
265.6738281250	n/a	272050	condition 65
278.8554687500	n/a	285548	condition 32
292.7060546875	n/a	299731	119
305.5224609375	n/a	312855	condition 96
318.1884765625	n/a	325825	condition 32
332.0556640625	n/a	340025	97
344.1718750000	n/a	352432	119
356.8720703125	n/a	365437	condition 64
370.3886718750	n/a	379278	33
384.3046875000	n/a	393528	condition 65
396.9550781250	n/a	406482	condition 96
410.9882812500	n/a	420852	condition 65
424.5214843750	n/a	434710	118
437.5380859375	n/a	448039	33
451.0546875000	n/a	461880	119
463.7871093750	n/a	474918	condition 64
476.8544921875	n/a	488299	118
489.9375000000	n/a	501696	condition 65
502.6376953125	n/a	514701	condition 32
515.9707031250	n/a	528354	33
529.1865234375	n/a	541887	97
