onset	duration	sample	value
9.3085937500	n/a	9532	27
21.6416015625	n/a	22161	condition 64
35.1250000000	n/a	35968	condition 32
47.4082031250	n/a	48546	33
61.5244140625	n/a	63001	condition 26
75.2080078125	n/a	77013	condition 18
88.0576171875	n/a	90171	condition 26
100.3076171875	n/a	102715	condition 65
114.3906250000	n/a	117136	condition 65
128.5068359375	n/a	131591	condition 32
140.7734375000	n/a	144152	condition 19
153.0908203125	n/a	156765	33
165.9736328125	n/a	169957	condition 26
178.2236328125	n/a	182501	condition 19
190.9072265625	n/a	195489	condition 65
203.0566406250	n/a	207930	condition 64
215.7568359375	n/a	220935	condition 64
228.8232421875	n/a	234315	condition 18
241.9394531250	n/a	247746	condition 18
254.2392578125	n/a	260341	27
268.1396484375	n/a	274575	condition 32
280.3222656250	n/a	287050	condition 19
292.6396484375	n/a	299663	condition 64
305.2890625000	n/a	312616	condition 32
318.5058593750	n/a	326150	condition 65
332.4892578125	n/a	340469	condition 19
346.2392578125	n/a	354549	condition 26
359.3056640625	n/a	367929	33
373.0722656250	n/a	382026	27
386.2714843750	n/a	395542	condition 64
400.2880859375	n/a	409895	27
413.4882812500	n/a	423412	condition 18
425.7216796875	n/a	435939	33
439.2714843750	n/a	449814	condition 19
453.1875000000	n/a	464064	condition 26
466.5878906250	n/a	477786	condition 18
480.4873046875	n/a	492019	27
494.3212890625	n/a	506185	condition 32
507.0537109375	n/a	519223	33
520.4042968750	n/a	532894	condition 65
