onset	duration	sample	value
9.1191406250	n/a	9338	condition 19
21.3857421875	n/a	21899	condition 26
33.9023437500	n/a	34716	condition 19
46.2021484375	n/a	47311	condition 65
59.0527343750	n/a	60470	condition 19
73.0019531250	n/a	74754	33
86.3183593750	n/a	88390	condition 64
98.8349609375	n/a	101207	condition 26
111.2851562500	n/a	113956	condition 65
125.2519531250	n/a	128258	condition 18
137.8017578125	n/a	141109	condition 32
150.7685546875	n/a	154387	condition 32
163.9843750000	n/a	167920	condition 18
176.2343750000	n/a	180464	condition 32
189.8681640625	n/a	194425	condition 64
203.7343750000	n/a	208624	condition 26
216.7177734375	n/a	221919	condition 65
228.8505859375	n/a	234343	condition 19
241.4169921875	n/a	247211	condition 32
255.5507812500	n/a	261684	27
269.1337890625	n/a	275593	condition 65
282.3173828125	n/a	289093	27
295.3505859375	n/a	302439	condition 18
309.1005859375	n/a	316519	33
321.2500000000	n/a	328960	condition 32
335.4169921875	n/a	343467	condition 26
348.1494140625	n/a	356505	condition 64
361.2666015625	n/a	369937	condition 19
374.9160156250	n/a	383914	27
387.2998046875	n/a	396595	33
401.2158203125	n/a	410845	condition 26
414.7324218750	n/a	424686	condition 18
428.5156250000	n/a	438800	condition 64
442.5156250000	n/a	453136	27
455.8154296875	n/a	466755	condition 18
468.8486328125	n/a	480101	33
480.9658203125	n/a	492509	condition 64
493.2314453125	n/a	505069	33
506.7988281250	n/a	518962	condition 65
520.1650390625	n/a	532649	27
