onset	duration	sample	value
8.9189453125	n/a	9133	condition 65
21.5019531250	n/a	22018	condition 96
34.1015625000	n/a	34920	condition 32
47.5849609375	n/a	48727	33
59.9013671875	n/a	61339	condition 64
72.9511718750	n/a	74702	118
86.5849609375	n/a	88663	condition 64
99.9179687500	n/a	102316	97
113.2177734375	n/a	115935	97
126.6503906250	n/a	129690	condition 32
139.0507812500	n/a	142388	119
152.6337890625	n/a	156297	33
164.8505859375	n/a	168807	condition 64
177.1835937500	n/a	181436	119
191.1503906250	n/a	195738	97
205.2998046875	n/a	210227	condition 96
217.5996093750	n/a	222822	condition 96
230.3828125000	n/a	235912	118
243.9501953125	n/a	249805	118
257.0498046875	n/a	263219	condition 65
269.3496093750	n/a	275814	condition 32
283.0156250000	n/a	289808	119
295.3330078125	n/a	302421	condition 96
307.8496093750	n/a	315238	condition 32
321.2324218750	n/a	328942	97
334.1992187500	n/a	342220	119
347.2656250000	n/a	355600	condition 64
360.6318359375	n/a	369287	33
374.3984375000	n/a	383384	condition 65
388.2480468750	n/a	397566	condition 96
402.3818359375	n/a	412039	condition 65
414.6484375000	n/a	424600	118
426.8652343750	n/a	437110	33
439.5810546875	n/a	450131	119
453.3144531250	n/a	464194	condition 64
467.2812500000	n/a	478496	118
481.1308593750	n/a	492678	condition 65
494.9472656250	n/a	506826	condition 32
507.3642578125	n/a	519541	33
521.0810546875	n/a	533587	97
