onset	duration	sample	value
13.4150390625	n/a	13737	condition 65
27.4316406250	n/a	28090	condition 32
40.3320312500	n/a	41300	condition 26
53.8984375000	n/a	55192	condition 65
67.1816406250	n/a	68794	33
81.3144531250	n/a	83266	27
93.9482421875	n/a	96203	condition 18
107.7148437500	n/a	110300	33
120.9804687500	n/a	123884	condition 18
134.7304687500	n/a	137964	condition 26
148.7470703125	n/a	152317	condition 64
161.4970703125	n/a	165373	condition 26
175.4140625000	n/a	179624	condition 19
187.7636718750	n/a	192270	condition 65
201.7138671875	n/a	206555	33
213.8300781250	n/a	218962	condition 19
227.8632812500	n/a	233332	condition 64
241.1630859375	n/a	246951	condition 65
255.0966796875	n/a	261219	27
268.0126953125	n/a	274445	condition 18
281.1962890625	n/a	287945	33
294.9628906250	n/a	302042	27
308.8789062500	n/a	316292	condition 32
321.4287109375	n/a	329143	condition 26
334.4619140625	n/a	342489	condition 64
347.8125000000	n/a	356160	condition 26
360.8457031250	n/a	369506	condition 65
373.9785156250	n/a	382954	condition 64
387.9121093750	n/a	397222	condition 18
400.5947265625	n/a	410209	27
414.7451171875	n/a	424699	condition 32
428.2451171875	n/a	438523	condition 19
442.3447265625	n/a	452961	condition 32
455.2451171875	n/a	466171	condition 64
467.7275390625	n/a	478953	condition 19
481.7607421875	n/a	493323	condition 32
495.5605468750	n/a	507454	27
508.5605468750	n/a	520766	condition 18
522.6103515625	n/a	535153	condition 19
535.8603515625	n/a	548721	33
