onset	duration	sample	value
13.7539062500	n/a	14084	condition 19
26.7880859375	n/a	27431	condition 26
39.4707031250	n/a	40418	condition 19
52.2207031250	n/a	53474	condition 65
64.4873046875	n/a	66035	condition 19
77.2705078125	n/a	79125	33
91.0703125000	n/a	93256	condition 64
103.4033203125	n/a	105885	condition 26
115.7363281250	n/a	118514	condition 65
128.2363281250	n/a	131314	condition 18
141.8193359375	n/a	145223	condition 32
154.8027343750	n/a	158518	condition 32
168.6191406250	n/a	172666	condition 18
180.8193359375	n/a	185159	condition 32
192.9697265625	n/a	197601	condition 64
206.6855468750	n/a	211646	condition 26
219.1191406250	n/a	224378	condition 65
232.4355468750	n/a	238014	condition 19
245.2519531250	n/a	251138	condition 32
257.6523437500	n/a	263836	27
270.9355468750	n/a	277438	condition 65
283.5185546875	n/a	290323	27
297.6181640625	n/a	304761	condition 18
310.9345703125	n/a	318397	33
323.7011718750	n/a	331470	condition 32
336.4843750000	n/a	344560	condition 26
349.9843750000	n/a	358384	condition 64
362.5175781250	n/a	371218	condition 19
375.3339843750	n/a	384342	27
387.8671875000	n/a	397176	33
400.9179687500	n/a	410540	condition 26
414.5341796875	n/a	424483	condition 18
427.6835937500	n/a	437948	condition 64
440.1669921875	n/a	450731	27
453.9501953125	n/a	464845	condition 18
466.9833984375	n/a	478191	33
479.5332031250	n/a	491042	condition 64
492.0332031250	n/a	503842	33
505.6835937500	n/a	517820	condition 65
519.6669921875	n/a	532139	27
