onset	duration	sample	value
16.8066406250	n/a	17210	119
29.3066406250	n/a	30010	condition 64
43.0722656250	n/a	44106	119
56.4394531250	n/a	57794	97
68.8388671875	n/a	70491	119
81.9228515625	n/a	83889	33
94.3886718750	n/a	96654	condition 96
106.5888671875	n/a	109147	condition 64
119.6552734375	n/a	122527	97
133.1552734375	n/a	136351	118
146.6718750000	n/a	150192	condition 32
159.0712890625	n/a	162889	condition 32
171.3378906250	n/a	175450	118
184.1884765625	n/a	188609	condition 32
197.0048828125	n/a	201733	condition 96
210.3876953125	n/a	215437	condition 64
224.0878906250	n/a	229466	97
237.9375000000	n/a	243648	119
251.4541015625	n/a	257489	condition 32
264.1210937500	n/a	270460	condition 65
277.1210937500	n/a	283772	97
289.6875000000	n/a	296640	condition 65
303.2539062500	n/a	310532	118
317.2207031250	n/a	324834	33
329.9365234375	n/a	337855	condition 32
342.6201171875	n/a	350843	condition 64
356.7031250000	n/a	365264	condition 96
368.9697265625	n/a	377825	119
382.1201171875	n/a	391291	condition 65
395.2695312500	n/a	404756	33
407.8193359375	n/a	417607	condition 64
419.9365234375	n/a	430015	118
432.6523437500	n/a	443036	condition 96
445.7031250000	n/a	456400	condition 65
458.1689453125	n/a	469165	118
471.9687500000	n/a	483296	33
485.8525390625	n/a	497513	condition 96
499.1855468750	n/a	511166	33
512.9521484375	n/a	525263	97
527.1015625000	n/a	539752	condition 65
