onset	duration	sample	value
11.9384765625	n/a	12225	condition 65
25.5048828125	n/a	26117	condition 32
38.7880859375	n/a	39719	condition 26
52.4208984375	n/a	53679	condition 65
64.7050781250	n/a	66258	33
78.4208984375	n/a	80303	27
92.4873046875	n/a	94707	condition 18
105.8378906250	n/a	108378	33
117.9541015625	n/a	120785	condition 18
131.1210937500	n/a	134268	condition 26
143.8876953125	n/a	147341	condition 64
157.7705078125	n/a	161557	condition 26
171.2705078125	n/a	175381	condition 19
184.8037109375	n/a	189239	condition 65
198.8867187500	n/a	203660	33
211.7363281250	n/a	216818	condition 19
225.5195312500	n/a	230932	condition 64
238.2363281250	n/a	243954	condition 65
251.0029296875	n/a	257027	27
263.4365234375	n/a	269759	condition 18
277.3525390625	n/a	284009	33
291.4023437500	n/a	298396	27
304.1689453125	n/a	311469	condition 32
316.7187500000	n/a	324320	condition 26
329.1689453125	n/a	337069	condition 64
342.5859375000	n/a	350808	condition 26
355.3017578125	n/a	363829	condition 65
368.0849609375	n/a	376919	condition 64
380.8847656250	n/a	390026	condition 18
394.8183593750	n/a	404294	27
407.1015625000	n/a	416872	condition 32
419.3681640625	n/a	429433	condition 19
432.4843750000	n/a	442864	condition 32
444.8017578125	n/a	455477	condition 64
457.3847656250	n/a	468362	condition 19
470.9677734375	n/a	482271	condition 32
483.7841796875	n/a	495395	27
496.3505859375	n/a	508263	condition 18
509.9677734375	n/a	522207	condition 19
524.0009765625	n/a	536577	33
