onset	duration	sample	value
10.8896484375	n/a	11151	condition 65
23.8896484375	n/a	24463	condition 96
37.2060546875	n/a	38099	condition 32
50.0732421875	n/a	51275	33
64.1230468750	n/a	65662	condition 64
77.3222656250	n/a	79178	118
91.2226562500	n/a	93412	condition 64
104.0556640625	n/a	106553	97
116.9726562500	n/a	119780	97
131.0390625000	n/a	134184	condition 32
145.1054687500	n/a	148588	119
157.4550781250	n/a	161234	33
170.2216796875	n/a	174307	condition 64
182.8046875000	n/a	187192	119
195.3212890625	n/a	200009	97
208.7050781250	n/a	213714	condition 96
221.9208984375	n/a	227247	condition 96
235.8046875000	n/a	241464	118
248.1708984375	n/a	254127	118
261.8710937500	n/a	268156	condition 65
275.2373046875	n/a	281843	condition 32
289.0205078125	n/a	295957	119
302.4707031250	n/a	309730	condition 96
316.4042968750	n/a	323998	condition 32
328.7539062500	n/a	336644	97
342.2705078125	n/a	350485	119
355.3037109375	n/a	363831	condition 64
368.4199218750	n/a	377262	33
381.6035156250	n/a	390762	condition 65
395.3867187500	n/a	404876	condition 96
408.1367187500	n/a	417932	condition 65
422.0859375000	n/a	432216	118
434.3193359375	n/a	444743	33
448.1357421875	n/a	458891	119
461.5195312500	n/a	472596	condition 64
473.8691406250	n/a	485242	118
486.6523437500	n/a	498332	condition 65
499.1523437500	n/a	511132	condition 32
512.2519531250	n/a	524546	33
525.1025390625	n/a	537705	97
