onset	duration	sample	value
8.1220703125	n/a	8317	condition 65
21.3554687500	n/a	21868	condition 96
35.2216796875	n/a	36067	condition 32
47.6054687500	n/a	48748	33
60.3046875000	n/a	61752	condition 64
74.3212890625	n/a	76105	118
86.8544921875	n/a	88939	condition 64
100.8378906250	n/a	103258	97
114.7548828125	n/a	117509	97
127.1708984375	n/a	130223	condition 32
141.2041015625	n/a	144593	119
154.0205078125	n/a	157717	33
167.1875000000	n/a	171200	condition 64
181.0039062500	n/a	185348	119
193.6035156250	n/a	198250	97
207.5869140625	n/a	212569	condition 96
221.5537109375	n/a	226871	condition 96
235.3867187500	n/a	241036	118
249.0371093750	n/a	255014	118
262.1367187500	n/a	268428	condition 65
275.9033203125	n/a	282525	condition 32
289.3867187500	n/a	296332	119
303.5693359375	n/a	310855	condition 96
317.1025390625	n/a	324713	condition 32
329.5693359375	n/a	337479	97
342.3691406250	n/a	350586	119
355.7695312500	n/a	364308	condition 64
368.5019531250	n/a	377346	33
380.8359375000	n/a	389976	condition 65
393.4521484375	n/a	402895	condition 96
407.3857421875	n/a	417163	condition 65
420.2187500000	n/a	430304	118
432.5019531250	n/a	442882	33
446.4355468750	n/a	457150	119
458.8017578125	n/a	469813	condition 64
470.9677734375	n/a	482271	118
484.0185546875	n/a	495635	condition 65
497.8515625000	n/a	509800	condition 32
510.7177734375	n/a	522975	33
524.7177734375	n/a	537311	97
