onset	duration	sample	value
18.3291015625	n/a	18769	97
31.3623046875	n/a	32115	condition 32
45.3466796875	n/a	46435	condition 64
58.8789062500	n/a	60292	97
72.1289062500	n/a	73860	33
85.1787109375	n/a	87223	condition 65
97.6787109375	n/a	100023	118
111.7119140625	n/a	114393	33
124.7617187500	n/a	127756	118
136.9951171875	n/a	140283	condition 64
150.6279296875	n/a	154243	condition 96
163.8281250000	n/a	167760	condition 64
176.8447265625	n/a	181089	119
190.2109375000	n/a	194776	97
203.0781250000	n/a	207952	33
217.0771484375	n/a	222287	119
230.3271484375	n/a	235855	condition 96
244.3437500000	n/a	250208	97
258.4443359375	n/a	264647	condition 65
271.1435546875	n/a	277651	118
285.1435546875	n/a	291987	33
297.5937500000	n/a	304736	condition 65
311.6933593750	n/a	319174	condition 32
324.9101562500	n/a	332708	condition 64
337.4931640625	n/a	345593	condition 96
349.7929687500	n/a	358188	condition 64
362.8759765625	n/a	371585	97
376.2597656250	n/a	385290	condition 96
389.9931640625	n/a	399353	118
402.7929687500	n/a	412460	condition 65
416.8925781250	n/a	426898	condition 32
430.8085937500	n/a	441148	119
444.7753906250	n/a	455450	condition 32
457.2255859375	n/a	468199	condition 96
470.7089843750	n/a	482006	119
484.3583984375	n/a	495983	condition 32
497.9921875000	n/a	509944	condition 65
511.6748046875	n/a	523955	118
524.4912109375	n/a	537079	119
538.3750000000	n/a	551296	33
