onset	duration	sample	value
8.8691406250	n/a	9082	condition 65
22.1191406250	n/a	22650	condition 32
35.9521484375	n/a	36815	condition 26
49.1855468750	n/a	50366	condition 65
62.0351562500	n/a	63524	33
75.0683593750	n/a	76870	27
87.3857421875	n/a	89483	condition 18
101.2187500000	n/a	103648	33
114.9355468750	n/a	117694	condition 18
127.3681640625	n/a	130425	condition 26
140.1679687500	n/a	143532	condition 64
153.3515625000	n/a	157032	condition 26
165.9013671875	n/a	169883	condition 19
179.3847656250	n/a	183690	condition 65
192.9013671875	n/a	197531	33
205.1845703125	n/a	210109	condition 19
217.8339843750	n/a	223062	condition 64
231.7841796875	n/a	237347	condition 65
245.4003906250	n/a	251290	27
258.9501953125	n/a	265165	condition 18
272.9501953125	n/a	279501	33
287.1005859375	n/a	293991	27
299.8164062500	n/a	307012	condition 32
312.8496093750	n/a	320358	condition 26
325.7167968750	n/a	333534	condition 64
338.7666015625	n/a	346897	condition 26
352.3837890625	n/a	360841	condition 65
364.5332031250	n/a	373282	condition 64
377.2832031250	n/a	386338	condition 18
391.3164062500	n/a	400708	27
404.2158203125	n/a	413917	condition 32
416.8828125000	n/a	426888	condition 19
429.8652343750	n/a	440182	condition 32
443.8154296875	n/a	454467	condition 64
456.1992187500	n/a	467148	condition 19
469.0488281250	n/a	480306	condition 32
481.7822265625	n/a	493345	27
495.0322265625	n/a	506913	condition 18
508.2978515625	n/a	520497	condition 19
521.9648437500	n/a	534492	33
