onset	duration	sample	value
7.8017578125	n/a	7989	condition 19
21.8183593750	n/a	22342	condition 26
34.8349609375	n/a	35671	condition 19
47.5517578125	n/a	48693	condition 65
60.4511718750	n/a	61902	condition 19
73.9179687500	n/a	75692	33
87.0175781250	n/a	89106	condition 64
99.6005859375	n/a	101991	condition 26
112.2011718750	n/a	114894	condition 65
124.7343750000	n/a	127728	condition 18
137.8007812500	n/a	141108	condition 32
150.2675781250	n/a	153874	condition 32
162.9003906250	n/a	166810	condition 18
176.3173828125	n/a	180549	condition 32
190.1337890625	n/a	194697	condition 64
203.6503906250	n/a	208538	condition 26
216.1669921875	n/a	221355	condition 65
229.9169921875	n/a	235435	condition 19
243.5000000000	n/a	249344	condition 32
256.5166015625	n/a	262673	27
269.2001953125	n/a	275661	condition 65
281.6494140625	n/a	288409	27
294.2822265625	n/a	301345	condition 18
306.5830078125	n/a	313941	33
319.7324218750	n/a	327406	condition 32
332.6992187500	n/a	340684	condition 26
345.4326171875	n/a	353723	condition 64
359.3652343750	n/a	367990	condition 19
373.2988281250	n/a	382258	27
386.6318359375	n/a	395911	33
399.4482421875	n/a	409035	condition 26
412.9980468750	n/a	422910	condition 18
425.2978515625	n/a	435505	condition 64
439.0976562500	n/a	449636	155
452.1982421875	n/a	463051	condition 18
464.9316406250	n/a	476090	33
478.3476562500	n/a	489828	condition 64
491.3974609375	n/a	503191	33
503.7480468750	n/a	515838	condition 65
516.7978515625	n/a	529201	27
