onset	duration	sample	value
6.2861328125	n/a	6437	27
19.5029296875	n/a	19971	condition 64
32.3193359375	n/a	33095	condition 32
45.5361328125	n/a	46629	33
59.2695312500	n/a	60692	condition 26
72.0693359375	n/a	73799	condition 18
84.3193359375	n/a	86343	condition 26
96.7861328125	n/a	99109	condition 65
109.9853515625	n/a	112625	condition 65
123.2353515625	n/a	126193	condition 32
137.1015625000	n/a	140392	condition 19
151.1855468750	n/a	154814	33
164.6855468750	n/a	168638	condition 26
178.5517578125	n/a	182837	condition 19
192.5019531250	n/a	197122	condition 65
205.8525390625	n/a	210793	condition 64
218.7343750000	n/a	223984	condition 64
230.8681640625	n/a	236409	condition 18
244.2509765625	n/a	250113	condition 18
257.3681640625	n/a	263545	27
269.7509765625	n/a	276225	condition 32
283.4511718750	n/a	290254	condition 19
296.1503906250	n/a	303258	condition 64
309.1005859375	n/a	316519	condition 32
321.8837890625	n/a	329609	condition 65
335.9833984375	n/a	344047	condition 19
349.5673828125	n/a	357957	condition 26
362.1005859375	n/a	370791	33
374.4677734375	n/a	383455	27
387.1669921875	n/a	396459	condition 64
401.2001953125	n/a	410829	27
415.0000000000	n/a	424960	condition 18
428.8496093750	n/a	439142	33
441.5830078125	n/a	452181	condition 19
454.7998046875	n/a	465715	condition 26
467.8496093750	n/a	479078	condition 18
481.3320312500	n/a	492884	27
494.2158203125	n/a	506077	condition 32
506.5156250000	n/a	518672	33
520.1318359375	n/a	532615	condition 65
