onset	duration	sample	value
18.6210937500	n/a	19068	119
31.5703125000	n/a	32328	condition 64
44.9707031250	n/a	46050	119
57.3701171875	n/a	58747	97
71.0371093750	n/a	72742	119
85.1201171875	n/a	87163	33
97.8535156250	n/a	100202	condition 96
111.8193359375	n/a	114503	condition 64
124.1201171875	n/a	127099	97
136.5859375000	n/a	139864	118
150.7031250000	n/a	154320	condition 32
163.2197265625	n/a	167137	condition 32
175.5361328125	n/a	179749	118
188.9853515625	n/a	193521	condition 32
203.1357421875	n/a	208011	condition 96
215.4023437500	n/a	220572	condition 64
228.0185546875	n/a	233491	97
242.0019531250	n/a	247810	119
255.3847656250	n/a	261514	condition 32
268.1513671875	n/a	274587	condition 65
282.0351562500	n/a	288804	97
294.9853515625	n/a	302065	condition 65
308.5517578125	n/a	315957	118
321.5341796875	n/a	329251	33
335.0507812500	n/a	343092	condition 32
348.8007812500	n/a	357172	condition 64
362.5009765625	n/a	371201	condition 96
375.6005859375	n/a	384615	119
388.3671875000	n/a	397688	condition 65
400.5673828125	n/a	410181	33
413.8671875000	n/a	423800	condition 64
427.4169921875	n/a	437675	118
440.4335937500	n/a	451004	condition 96
454.5830078125	n/a	465493	condition 65
467.8671875000	n/a	479096	118
481.1328125000	n/a	492680	33
494.5830078125	n/a	506453	condition 96
508.6162109375	n/a	520823	33
521.5830078125	n/a	534101	97
535.6992187500	n/a	548556	condition 65
