onset	duration	sample	value
10.9550781250	n/a	11218	condition 65
24.5546875000	n/a	25144	condition 32
36.9882812500	n/a	37876	condition 26
50.6044921875	n/a	51819	condition 65
63.5878906250	n/a	65114	33
76.9882812500	n/a	78836	27
89.4208984375	n/a	91567	condition 18
102.6376953125	n/a	105101	33
115.4375000000	n/a	118208	condition 18
128.0869140625	n/a	131161	condition 26
141.5039062500	n/a	144900	condition 64
151.0742187500	n/a	154700	condition 64
154.1035156250	n/a	157802	90
166.9033203125	n/a	170909	condition 19
180.7207031250	n/a	185058	condition 65
193.5537109375	n/a	198199	33
207.4365234375	n/a	212415	condition 19
220.0195312500	n/a	225300	condition 64
233.8701171875	n/a	239483	condition 65
247.0195312500	n/a	252948	27
260.2363281250	n/a	266482	condition 18
273.4863281250	n/a	280050	33
287.4023437500	n/a	294300	27
301.3359375000	n/a	308568	condition 32
314.0361328125	n/a	321573	condition 26
327.4687500000	n/a	335328	condition 64
341.2187500000	n/a	349408	condition 26
354.4189453125	n/a	362925	condition 65
367.2021484375	n/a	376015	condition 64
379.6855468750	n/a	388798	condition 18
392.0517578125	n/a	401461	27
404.9853515625	n/a	414705	condition 32
418.5185546875	n/a	428563	condition 19
430.6845703125	n/a	441021	condition 32
443.6015625000	n/a	454248	condition 64
457.6679687500	n/a	468652	condition 19
471.3847656250	n/a	482698	condition 32
483.9677734375	n/a	495583	27
496.6845703125	n/a	508605	condition 18
509.3505859375	n/a	521575	condition 19
523.0673828125	n/a	535621	33
