onset	duration	sample	value
22.0986328125	n/a	22629	119
35.8320312500	n/a	36692	condition 64
47.9814453125	n/a	49133	119
60.5976562500	n/a	62052	97
74.4316406250	n/a	76218	119
87.1474609375	n/a	89239	33
100.0976562500	n/a	102500	condition 96
114.0478515625	n/a	116785	condition 64
126.8310546875	n/a	129875	97
140.7968750000	n/a	144176	118
154.6972656250	n/a	158410	condition 32
167.1972656250	n/a	171210	condition 32
180.9306640625	n/a	185273	118
193.2138671875	n/a	197851	condition 32
205.9628906250	n/a	210906	condition 96
219.6464843750	n/a	224918	condition 64
232.1962890625	n/a	237769	97
244.3466796875	n/a	250211	119
256.7294921875	n/a	262891	condition 32
269.6132812500	n/a	276084	condition 65
282.4130859375	n/a	289191	97
296.3623046875	n/a	303475	condition 65
309.9960937500	n/a	317436	118
323.4453125000	n/a	331208	33
335.8789062500	n/a	343940	condition 32
348.9619140625	n/a	357337	condition 64
362.3115234375	n/a	371007	condition 96
376.0283203125	n/a	385053	119
389.0947265625	n/a	398433	condition 65
401.6787109375	n/a	411319	33
414.2119140625	n/a	424153	condition 64
427.6611328125	n/a	437925	118
441.3281250000	n/a	451920	condition 96
454.5449218750	n/a	465454	condition 65
467.9277343750	n/a	479158	118
481.7109375000	n/a	493272	33
494.3105468750	n/a	506174	condition 96
507.8603515625	n/a	520049	33
520.2275390625	n/a	532713	97
532.7109375000	n/a	545496	condition 65
