onset	duration	sample	value
9.4599609375	n/a	9687	condition 65
22.9267578125	n/a	23477	condition 32
36.4433593750	n/a	37318	condition 26
48.8935546875	n/a	50067	condition 65
61.2929687500	n/a	62764	33
74.3935546875	n/a	76179	27
87.8427734375	n/a	89951	condition 18
100.9765625000	n/a	103400	33
113.1093750000	n/a	115824	condition 18
127.2597656250	n/a	130314	condition 26
139.9921875000	n/a	143352	condition 64
152.1923828125	n/a	155845	condition 26
165.3593750000	n/a	169328	condition 19
179.3417968750	n/a	183646	condition 65
192.9589843750	n/a	197590	33
206.7089843750	n/a	211670	condition 19
218.8593750000	n/a	224112	condition 64
232.2080078125	n/a	237781	condition 65
245.0253906250	n/a	250906	27
258.4414062500	n/a	264644	condition 18
271.4912109375	n/a	278007	33
285.2246093750	n/a	292070	27
298.6914062500	n/a	305860	condition 32
312.6406250000	n/a	320144	condition 26
326.2744140625	n/a	334105	condition 64
340.2246093750	n/a	348390	condition 26
353.2578125000	n/a	361736	condition 65
365.7070312500	n/a	374484	condition 64
378.7236328125	n/a	387813	condition 18
392.2402343750	n/a	401654	27
406.4238281250	n/a	416178	condition 32
419.5068359375	n/a	429575	condition 19
432.9404296875	n/a	443331	condition 32
445.2236328125	n/a	455909	condition 64
458.7900390625	n/a	469801	condition 19
472.3896484375	n/a	483727	condition 32
486.5224609375	n/a	498199	27
500.1230468750	n/a	512126	condition 18
513.3388671875	n/a	525659	condition 19
525.5390625000	n/a	538152	33
